,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (C),Wind Speed(kmph)
0,albany,90,US,2020-01-04 02:00:24,86,42.65,-73.75,5.149999999999977,0.9656039999999999
1,vaini,19,IN,2020-01-04 02:04:26,34,15.34,74.49,27.149999999999977,4.9889540000000006
2,sitges,0,ES,2020-01-04 02:04:26,80,41.24,1.82,9.04000000000002,9.977908000000001
3,beyneu,28,KZ,2020-01-04 02:04:26,61,45.32,55.19,-1.5299999999999727,2.9772790000000002
4,norman wells,40,CA,2020-01-04 02:04:26,74,65.28,-126.83,-30.849999999999994,2.41401
5,islampur,63,IN,2020-01-04 02:04:26,38,17.05,74.27,25.480000000000018,2.6232241999999997
6,bambous virieux,75,MU,2020-01-04 02:04:26,83,-20.34,57.76,27.930000000000007,6.598293999999999
7,punta arenas,75,CL,2020-01-04 02:04:26,81,-53.16,-70.91,8.149999999999977,9.977908000000001
8,krsko,20,SI,2020-01-04 02:04:27,92,45.96,15.49,-0.9599999999999795,1.60934
9,mahebourg,75,MU,2020-01-04 02:04:27,83,-20.41,57.7,27.930000000000007,6.598293999999999
10,champasak,40,LA,2020-01-04 02:04:27,43,14.89,105.88,32.14999999999998,4.9889540000000006
11,huilong,96,CN,2020-01-04 01:56:05,57,31.15,106.5,11.569999999999993,3.1703997999999998
12,sinegorsk,0,RU,2020-01-04 02:04:27,77,44.77,38.34,2.3700000000000045,0.724203
13,port blair,20,IN,2020-01-04 02:04:27,74,11.67,92.75,30.149999999999977,7.402963999999999
14,balabac,53,PH,2020-01-04 02:04:27,73,7.99,117.06,28.670000000000016,13.2931484
15,rikitea,97,PF,2020-01-04 02:04:27,79,-23.12,-134.97,25.920000000000016,8.8352766
16,cidreira,12,BR,2020-01-04 02:04:27,80,-30.17,-50.22,22.5,16.3830812
17,avarua,16,CK,2020-01-04 02:04:27,83,-21.21,-159.78,25.149999999999977,4.9889540000000006
18,salekhard,100,RU,2020-01-04 02:04:28,97,66.54,66.62,-16.45999999999998,2.6393176
19,atuona,4,PF,2020-01-04 02:04:28,74,-9.8,-139.03,27.19999999999999,11.6516216
20,codrington,0,AU,2020-01-04 02:04:28,49,-28.95,153.24,35.14999999999998,14.001257999999998
21,busselton,13,AU,2020-01-04 02:00:06,15,-33.64,115.35,25.149999999999977,13.2609616
22,mataura,65,NZ,2020-01-04 02:04:28,66,-46.19,168.86,11.259999999999991,8.6260624
23,sarkand,97,KZ,2020-01-04 02:04:28,77,45.41,79.91,-4.2099999999999795,0.5954558
24,jamestown,0,AU,2020-01-04 02:04:28,40,-33.21,138.6,25.20999999999998,13.759857
25,ushuaia,75,AR,2020-01-04 02:04:28,70,-54.81,-68.31,8.149999999999977,10.782578
26,vao,40,EE,2020-01-04 01:59:18,78,59.1,26.19,1.579999999999984,9.3502654
27,honningsvag,99,NO,2020-01-04 01:59:19,80,70.98,25.97,0.6399999999999864,25.298824800000002
28,east london,75,ZA,2020-01-04 01:58:10,100,-33.02,27.91,25.149999999999977,3.379614
29,pozo colorado,7,PY,2020-01-04 02:04:29,57,-23.49,-58.8,22.339999999999975,3.6532018
30,moron,22,HT,2020-01-04 02:04:29,84,18.56,-74.26,24.610000000000014,1.046071
31,bad waldsee,90,DE,2020-01-04 02:04:29,93,47.92,9.75,6.149999999999977,1.60934
32,puerto ayora,37,EC,2020-01-04 02:04:29,84,-0.74,-90.35,23.480000000000018,1.4323126
33,tasiilaq,100,GL,2020-01-04 01:56:03,41,65.61,-37.64,-4.850000000000023,11.587248
34,khatanga,100,RU,2020-01-04 02:04:29,97,71.98,102.47,-19.319999999999993,3.9589764
35,hithadhoo,30,MV,2020-01-04 01:59:16,68,-0.6,73.08,28.54000000000002,2.7036911999999997
36,madimba,40,CM,2020-01-04 02:04:29,94,4.42,9.93,25.149999999999977,0.80467
37,mar del plata,6,AR,2020-01-04 01:57:08,41,-46.43,-67.52,15.620000000000005,9.816974
38,urdoma,100,RU,2020-01-04 02:04:29,91,61.74,48.55,0.4800000000000182,8.9640238
39,jumla,11,NP,2020-01-04 02:04:30,59,29.28,82.18,1.3600000000000136,2.9450922
40,tuatapere,61,NZ,2020-01-04 02:04:30,66,-46.13,167.69,11.259999999999991,8.6260624
41,port alfred,96,ZA,2020-01-04 02:04:30,98,-33.59,26.89,21.819999999999993,8.0627934
42,kawalu,88,ID,2020-01-04 02:04:30,72,-7.38,108.21,27.74000000000001,4.345218
43,alekseyevskaya,0,RU,2020-01-04 02:04:30,74,45.77,40.15,0.14999999999997726,4.425685
44,chuy,0,UY,2020-01-04 01:59:15,83,-33.69,-53.46,18.189999999999998,5.3751956
45,arraial do cabo,68,BR,2020-01-04 02:05:30,83,-22.97,-42.02,24.430000000000007,11.522874400000001
46,gamba,48,CN,2020-01-04 02:05:30,49,28.28,88.52,-10.199999999999989,5.7292504
47,zigong,75,CN,2020-01-04 02:05:30,56,29.34,104.78,11.560000000000002,0.9495106
48,hilo,1,US,2020-01-04 02:05:30,83,19.71,-155.08,22.149999999999977,3.379614
49,banda aceh,0,ID,2020-01-04 02:05:31,54,5.56,95.32,31.569999999999993,7.161563
50,pisco,90,PE,2020-01-04 01:59:19,94,-13.71,-76.2,21.25999999999999,5.793624
51,pokhara,31,NP,2020-01-04 02:05:31,44,28.21,83.99,19.220000000000027,1.4162192
52,kangaatsiaq,100,GL,2020-01-04 02:05:31,82,68.31,-53.46,-5.100000000000023,7.322496999999999
53,nikolskoye,75,RU,2020-01-04 02:05:31,80,59.7,30.79,2.3700000000000045,6.43736
54,akonolinga,14,CM,2020-01-04 02:05:31,46,3.77,12.24,17.430000000000007,1.0299776
55,osterholz-scharmbeck,75,DE,2020-01-04 02:05:31,86,53.23,8.79,6.149999999999977,14.001257999999998
56,sinnamary,81,GF,2020-01-04 02:05:31,81,5.38,-52.96,26.600000000000023,10.1710288
57,huarmey,95,PE,2020-01-04 02:05:31,82,-10.07,-78.15,20.110000000000014,1.448406
58,galle,4,GN,2020-01-04 02:05:31,28,10.08,-12.83,18.310000000000002,2.3657298
59,juegang,100,CN,2020-01-04 02:05:31,77,32.31,121.18,10.149999999999977,0.724203
60,kununurra,49,AU,2020-01-04 01:56:01,39,-15.77,128.74,36.14999999999998,8.207633999999999
61,barrow,0,AR,2020-01-04 02:05:32,67,-38.31,-60.23,19.55000000000001,11.2492866
62,new norfolk,75,AU,2020-01-04 02:05:32,23,-42.78,147.06,17.370000000000005,14.966862
63,sioux lookout,90,CA,2020-01-04 02:05:32,92,50.1,-91.92,-7.850000000000023,2.41401
64,zambezi,100,ZM,2020-01-04 02:05:32,84,-13.55,23.12,21.189999999999998,3.3957073999999996
65,narsaq,100,GL,2020-01-04 02:05:32,27,60.91,-46.05,2.1499999999999773,23.174496
66,nelson bay,0,AU,2020-01-04 01:59:16,21,-32.72,152.14,41.14999999999998,11.587248
67,bluff,10,AU,2020-01-04 01:56:01,22,-23.58,149.07,34.81,13.1804946
68,bom jardim,40,BR,2020-01-04 02:05:32,94,-7.8,-35.59,22.149999999999977,6.598293999999999
